trial_id,t_ns_since_cmd,position_counts
0,710912,-31
0,1116924,-515
0,1530270,-1021
0,1895002,-1574
0,2281765,-2404
0,2654821,-3315
0,3013283,-4401
0,3449991,-5866
0,3844635,-6935
0,4251109,-7149
0,4635402,-7909
0,5032677,-8668
0,5428069,-8814
0,5820118,-9164
0,6182135,-9408
0,6574973,-9331
0,6968258,-9796
0,7341866,-10055
0,7715371,-10026
0,8093977,-10355
0,8488306,-10492
0,8841227,-10469
0,9245075,-10614
0,9636457,-10599
0,10032803,-10604
0,10429019,-10602
0,10827422,-10534
0,11219947,-10508
0,11613197,-10427
0,11968376,-10360
0,12364750,-10286
0,12737074,-10239
0,13116744,-10171
0,13510186,-10133
0,13914777,-10090
0,14324120,-10077
0,14715733,-10059
0,15093183,-10059
0,15488336,-10057
0,15840376,-10064
0,16216187,-10067
0,16591449,-10079
0,16973195,-10083
0,17340694,-10092
0,17716431,-10094
0,18114292,-10100
0,18529325,-10098
0,18894519,-10098
0,19280734,-10093
0,19675546,-10090
0,20053719,-10084
0,20452833,-10081
0,20841887,-10072
0,21220352,-10072
0,21593012,-10066
0,21990443,-10064
0,22361784,-10063
0,22715400,-10062
0,23093785,-10057
0,23488107,-10057
0,23842218,-10055
0,24239557,-10053
0,24632153,-10050
0,25032751,-10050
0,25427190,-10046
0,25827145,-10046
0,26217693,-10045
0,26611510,-10040
0,26968176,-10039
0,27361627,-10039
0,27736309,-10037
0,28106542,-10033
0,28500776,-10033
0,28867160,-10032
0,29283623,-10029
0,29677476,-10029
0,30079470,-10027
0,30468213,-10026
0,30841161,-10026
0,31218693,-10025
0,31610887,-10024
0,31991696,-10023
0,32387062,-10022
0,32759697,-10019
0,33157559,-10019
0,33530242,-10019
0,33936746,-10018
0,34328531,-10016
0,34715486,-10016
0,35115274,-10016
0,35510593,-10015
0,35898080,-10014
0,36280641,-10015
0,36678932,-10013
0,37054074,-10013
0,37454060,-10011
0,37863205,-10012
0,38260347,-10012
0,38633999,-10010
0,38988413,-10010
0,39362529,-10011
0,39715992,-10010
0,40092511,-10010
0,40465852,-10009
0,40842345,-10010
0,41242465,-10010
0,41636671,-10008
0,42033860,-10008
0,42426782,-10008
0,42775581,-10008
0,43128722,-10007
0,43480942,-10007
0,43848989,-10007
0,44203646,-10006
0,44573086,-10006
0,44919233,-10006
0,45261470,-10006
0,45593987,-10006
0,45917257,-10006
0,46229355,-10006
0,46541599,-10006
0,46833398,-10006
0,47129266,-10006
0,47437371,-10004
0,47752315,-10004
