trial_id,config,direction,target_counts,home_counts,t_cmd_ns,t_react_ns,t_engage_ns,t_complete_ns,reaction_us,motion_us,settle_us,total_us,final_pos_counts,final_error_counts
0,100um_pos,1,603026,583026,2922622167775195,2922622168489054,2922622184452768,2922622216068752,713.859,15963.714,31615.984,48293.557,603028,2
1,100um_pos,1,603027,583027,2922622290340021,2922622291072687,2922622307600276,2922622339450543,732.666,16527.589,31850.267,49110.522,603029,2
2,100um_pos,1,603027,583027,2922622422706514,2922622423423508,2922622432224764,2922622469803671,716.994,8801.256,37578.907,47097.157,603029,2
3,100um_pos,1,603027,583027,2922622543333383,2922622544072811,2922622552952905,2922622592828209,739.428,8880.094,39875.304,49494.826,603029,2
4,100um_pos,1,603026,583026,2922622669196046,2922622670269764,2922622678951959,2922622717623613,1073.718,8682.195,38671.654,48427.567,603027,1
5,100um_pos,1,603026,583026,2922622793688872,2922622794430239,2922622803542546,2922622842643468,741.367,9112.307,39100.922,48954.596,603027,1
6,100um_pos,1,603025,583025,2922622918582955,2922622919344189,2922622928459591,2922622969644846,761.234,9115.402,41185.255,51061.891,603028,3
7,100um_pos,1,603026,583026,2922623051563949,2922623052322868,2922623061280732,2922623100313187,758.919,8957.864,39032.455,48749.238,603028,2
8,100um_pos,1,603027,583027,2922623178625676,2922623179368837,2922623188546203,2922623226517741,743.161,9177.366,37971.538,47892.065,603029,2
9,100um_pos,1,603025,583025,2922623303561590,2922623304303675,2922623313335277,2922623351027098,742.085,9031.602,37691.821,47465.508,603027,2
10,100um_pos,1,603026,583026,2922623428708353,2922623429430576,2922623438746529,2922623480148479,722.223,9315.953,41401.95,51440.126,603027,1
11,100um_pos,1,603026,583026,2922623558100873,2922623558838317,2922623567949470,2922623609231276,737.444,9111.153,41281.806,51130.403,603027,1
12,100um_pos,1,603025,583025,2922623687979774,2922623688697678,2922623697746544,2922623735103038,717.904,9048.866,37356.494,47123.264,603025,0
13,100um_pos,1,603026,583026,2922623809937165,2922623811032683,2922623819706193,2922623861498120,1095.518,8673.51,41791.927,51560.955,603027,1
14,100um_pos,1,603026,583026,2922623939480057,2922623940201277,2922623949343388,2922623991832103,721.22,9142.111,42488.715,52352.046,603027,1
15,100um_pos,1,603026,583026,2922624072561888,2922624073280987,2922624082478219,2922624120597336,719.099,9197.232,38119.117,48035.448,603029,3
16,100um_pos,1,603025,583025,2922624201357926,2922624202095484,2922624218352339,2922624249471499,737.558,16256.855,31119.16,48113.573,603026,1
17,100um_pos,1,603025,583025,2922624324954298,2922624325673662,2922624334992089,2922624378202485,719.364,9318.427,43210.396,53248.187,603027,2
18,100um_pos,1,603026,583026,2922624458082379,2922624458795806,2922624468060451,2922624505740140,713.427,9264.645,37679.689,47657.761,603028,2
19,100um_pos,1,603026,583026,2922624582433302,2922624583151832,2922624599593188,2922624631244030,718.53,16441.356,31650.842,48810.728,603026,0
20,100um_pos,1,603026,583026,2922624706707631,2922624707445901,2922624723948712,2922624756868628,738.27,16502.811,32919.916,50160.997,603027,1
21,100um_pos,1,603026,583026,2922624837210483,2922624837946425,2922624847202993,2922624887767032,735.942,9256.568,40564.039,50556.549,603028,2
22,100um_pos,1,603025,583025,2922624963185593,2922624963902926,2922624973246739,2922625016515442,717.333,9343.813,43268.703,53329.849,603027,2
23,100um_pos,1,603026,583026,2922625095694473,2922625096427337,2922625105707490,2922625144450742,732.864,9280.153,38743.252,48756.269,603027,1
24,100um_pos,1,603026,583026,2922625220421078,2922625221200762,2922625230378730,2922625268643238,779.684,9177.968,38264.508,48222.16,603028,2
25,100um_pos,1,603025,583025,2922625347051180,2922625347798518,2922625357140466,2922625396089043,747.338,9341.948,38948.577,49037.863,603028,3
26,100um_pos,1,603026,583026,2922625475685078,2922625476429308,2922625485676332,2922625527762423,744.23,9247.024,42086.091,52077.345,603027,1
27,100um_pos,1,603026,583026,2922625604701746,2922625605400344,2922625614637646,2922625653769487,698.598,9237.302,39131.841,49067.741,603028,2
28,100um_pos,1,603025,583025,2922625733373695,2922625734471018,2922625743369375,2922625780409345,1097.323,8898.357,37039.97,47035.65,603027,2
29,100um_pos,1,603025,583025,2922625858101259,2922625859201544,2922625868139958,2922625901929047,1100.285,8938.414,33789.089,43827.788,603028,3
30,100um_pos,1,603025,583025,2922625979141252,2922625979839353,2922625989119856,2922626026596083,698.101,9280.503,37476.227,47454.831,603028,3
31,100um_pos,1,603025,583025,2922626105420123,2922626106158061,2922626115334341,2922626154765613,737.938,9176.28,39431.272,49345.49,603027,2
32,100um_pos,1,603026,583026,2922626231925996,2922626232796014,2922626241754446,2922626284615815,870.018,8958.432,42861.369,52689.819,603027,1
33,100um_pos,1,603027,583027,2922626365223812,2922626366196387,2922626382475568,2922626411389298,972.575,16279.181,28913.73,46165.486,603029,2
34,100um_pos,1,603026,583026,2922626490131875,2922626490859630,2922626500163595,2922626539677537,727.755,9303.965,39513.942,49545.662,603028,2
35,100um_pos,1,603026,583026,2922626616229030,2922626616919977,2922626626369399,2922626670407277,690.947,9449.422,44037.878,54178.247,603027,1
36,100um_pos,1,603026,583026,2922626748806014,2922626749524361,2922626765989491,2922626798244913,718.347,16465.13,32255.422,49438.899,603027,1
37,100um_pos,1,603026,583026,2922626879206111,2922626879941354,2922626889307632,2922626927365984,735.243,9366.278,38058.352,48159.873,603027,1
38,100um_pos,1,603026,583026,2922627004950480,2922627005670444,2922627014967704,2922627055305950,719.964,9297.26,40338.246,50355.47,603028,2
39,100um_pos,1,603025,583025,2922627134079359,2922627134793198,2922627151075494,2922627183821519,713.839,16282.296,32746.025,49742.16,603026,1
40,100um_pos,1,603026,583026,2922627260307688,2922627261078859,2922627270471583,2922627310924701,771.171,9392.724,40453.118,50617.013,603027,1
41,100um_pos,1,603026,583026,2922627389927111,2922627391028009,2922627400073956,2922627437448991,1100.898,9045.947,37375.035,47521.88,603028,2
42,100um_pos,1,603026,583026,2922627518556004,2922627519276706,2922627528574495,2922627567947085,720.702,9297.789,39372.59,49391.081,603028,2
43,100um_pos,1,603027,583027,2922627644310129,2922627645068854,2922627661499350,2922627694864727,758.725,16430.496,33365.377,50554.598,603029,2
44,100um_pos,1,603027,583027,2922627774181038,2922627774898348,2922627791347624,2922627823062328,717.31,16449.276,31714.704,48881.29,603028,1
45,100um_pos,1,603025,583025,2922627900600305,2922627901297215,2922627910637580,2922627948992391,696.91,9340.365,38354.811,48392.086,603028,3
46,100um_pos,1,603026,583026,2922628023803658,2922628024524309,2922628040702334,2922628076365532,720.651,16178.025,35663.198,52561.874,603028,2
47,100um_pos,1,603027,583027,2922628155426723,2922628156169217,2922628172466994,2922628204682776,742.494,16297.777,32215.782,49256.053,603029,2
48,100um_pos,1,603026,583026,2922628279077597,2922628280157020,2922628296220797,2922628330176245,1079.423,16063.777,33955.448,51098.648,603026,0
49,100um_pos,1,603026,583026,2922628406891432,2922628407614851,2922628416945608,2922628458089690,723.419,9330.757,41144.082,51198.258,603027,1
50,100um_pos,1,603026,583026,2922628534683273,2922628535439759,2922628544628343,2922628588468401,756.486,9188.584,43840.058,53785.128,603028,2
51,100um_pos,1,603026,583026,2922628671806906,2922628672567250,2922628681897330,2922628719926733,760.344,9330.08,38029.403,48119.827,603027,1
52,100um_pos,1,603027,583027,2922628794887531,2922628796023525,2922628804904516,2922628844785693,1135.994,8880.991,39881.177,49898.162,603029,2
53,100um_pos,1,603026,583026,2922628928950267,2922628929688050,2922628938906722,2922628976839145,737.783,9218.672,37932.423,47888.878,603028,2
54,100um_pos,1,603027,583027,2922629052102690,2922629053231929,2922629061866867,2922629102450084,1129.239,8634.938,40583.217,50347.394,603029,2
55,100um_pos,1,603025,583025,2922629180580258,2922629181338924,2922629190451312,2922629229890790,758.666,9112.388,39439.478,49310.532,603027,2
56,100um_pos,1,603026,583026,2922629305327139,2922629306085505,2922629314966633,2922629356343787,758.366,8881.128,41377.154,51016.648,603027,1
57,100um_pos,1,603026,583026,2922629433621610,2922629434400258,2922629443430085,2922629483602519,778.648,9029.827,40172.434,49980.909,603028,2
58,100um_pos,1,603027,583027,2922629562932496,2922629563955066,2922629572684342,2922629612449385,1022.57,8729.276,39765.043,49516.889,603029,2
59,100um_pos,1,603027,583027,2922629689495266,2922629690237786,2922629699280786,2922629737487414,742.52,9043.0,38206.628,47992.148,603028,1
60,100um_pos,1,603026,583026,2922629813451941,2922629814192625,2922629823391570,2922629862841671,740.684,9198.945,39450.101,49389.73,603028,2
61,100um_pos,1,603026,583026,2922629942120460,2922629942833033,2922629951797317,2922629989449761,712.573,8964.284,37652.444,47329.301,603027,1
62,100um_pos,1,603026,583026,2922630067453312,2922630068189701,2922630077306635,2922630115469217,736.389,9116.934,38162.582,48015.905,603028,2
63,100um_pos,1,603027,583027,2922630194392761,2922630195083748,2922630204322284,2922630242988024,690.987,9238.536,38665.74,48595.263,603028,1
64,100um_pos,1,603027,583027,2922630318677671,2922630319441219,2922630328783249,2922630371038276,763.548,9342.03,42255.027,52360.605,603028,1
65,100um_pos,1,603026,583026,2922630448970227,2922630449688491,2922630458862577,2922630498719761,718.264,9174.086,39857.184,49749.534,603028,2
66,100um_pos,1,603026,583026,2922630580451450,2922630581169738,2922630590323035,2922630628862374,718.288,9153.297,38539.339,48410.924,603028,2
67,100um_pos,1,603026,583026,2922630705681944,2922630706419100,2922630715699371,2922630754113938,737.156,9280.271,38414.567,48431.994,603027,1
68,100um_pos,1,603026,583026,2922630831327236,2922630832067032,2922630841364946,2922630880084062,739.796,9297.914,38719.116,48756.826,603026,0
69,100um_pos,1,603026,583026,2922630955945231,2922630956665881,2922630965922891,2922631004195803,720.65,9257.01,38272.912,48250.572,603028,2
70,100um_pos,1,603027,583027,2922631079947461,2922631080687939,2922631089842290,2922631128441908,740.478,9154.351,38599.618,48494.447,603029,2
71,100um_pos,1,603025,583025,2922631205697934,2922631206397609,2922631223070400,2922631255945638,699.675,16672.791,32875.238,50247.704,603025,0
72,100um_pos,1,603026,583026,2922631332677849,2922631333417588,2922631349986025,2922631380964528,739.739,16568.437,30978.503,48286.679,603028,2
73,100um_pos,1,603027,583027,2922631457824662,2922631458543163,2922631475218011,2922631507570561,718.501,16674.848,32352.55,49745.899,603028,1
74,100um_pos,1,603026,583026,2922631584195015,2922631584918287,2922631594321024,2922631634964704,723.272,9402.737,40643.68,50769.689,603026,0
75,100um_pos,1,603026,583026,2922631716450785,2922631717171549,2922631733796597,2922631765036723,720.764,16625.048,31240.126,48585.938,603027,1
76,100um_pos,1,603026,583026,2922631840448830,2922631841187717,2922631857760785,2922631893946118,738.887,16573.068,36185.333,53497.288,603026,0
77,100um_pos,1,603026,583026,2922631972549562,2922631973275302,2922631982670692,2922632022672415,725.74,9395.39,40001.723,50122.853,603028,2
78,100um_pos,1,603026,583026,2922632102445675,2922632103168579,2922632112322446,2922632150362482,722.904,9153.867,38040.036,47916.807,603027,1
79,100um_pos,1,603026,583026,2922632229863942,2922632230603165,2922632239858102,2922632278739089,739.223,9254.937,38880.987,48875.147,603027,1
80,100um_pos,1,603026,583026,2922632355925060,2922632356667029,2922632373193326,2922632407692877,741.969,16526.297,34499.551,51767.817,603027,1
81,100um_pos,1,603025,583025,2922632482950036,2922632483641186,2922632492840506,2922632531097861,691.15,9199.32,38257.355,48147.825,603026,1
82,100um_pos,1,603027,583027,2922632610489658,2922632611591323,2922632620486116,2922632657983450,1101.665,8894.793,37497.334,47493.792,603029,2
83,100um_pos,1,603025,583025,2922632734199639,2922632734934581,2922632751588845,2922632783589979,734.942,16654.264,32001.134,49390.34,603027,2
84,100um_pos,1,603026,583026,2922632860061383,2922632860791789,2922632870137275,2922632911387377,730.406,9345.486,41250.102,51325.994,603027,1
85,100um_pos,1,603027,583027,2922632988267641,2922632988984090,2922633005358114,2922633039058257,716.449,16374.024,33700.143,50790.616,603029,2
86,100um_pos,1,603027,583027,2922633115203146,2922633115917513,2922633125136317,2922633165658719,714.367,9218.804,40522.402,50455.573,603028,1
87,100um_pos,1,603026,583026,2922633244222133,2922633244938354,2922633261301242,2922633289984275,716.221,16362.888,28683.033,45762.142,603027,1
88,100um_pos,1,603027,583027,2922633368591885,2922633369718155,2922633385777256,2922633418036176,1126.27,16059.101,32258.92,49444.291,603030,3
89,100um_pos,1,603026,583026,2922633495450394,2922633496187550,2922633512486614,2922633545285492,737.156,16299.064,32798.878,49835.098,603026,0
90,100um_pos,1,603026,583026,2922633621108986,2922633621838586,2922633637945478,2922633669142180,729.6,16106.892,31196.702,48033.194,603028,2
91,100um_pos,1,603026,583026,2922633748241872,2922633749322385,2922633765342700,2922633796296397,1080.513,16020.315,30953.697,48054.525,603027,1
92,100um_pos,1,603027,583027,2922633874094004,2922633874833698,2922633891532547,2922633921632714,739.694,16698.849,30100.167,47538.71,603029,2
93,100um_pos,1,603024,583024,2922633993943243,2922633994666202,2922634003985650,2922634043259211,722.959,9319.448,39273.561,49315.968,603025,1
94,100um_pos,1,603026,583026,2922634124742662,2922634125781895,2922634134741453,2922634172669278,1039.233,8959.558,37927.825,47926.616,603027,1
95,100um_pos,1,603025,583025,2922634249224360,2922634249919073,2922634258907799,2922634297945010,694.713,8988.726,39037.211,48720.65,603027,2
96,100um_pos,1,603026,583026,2922634370430051,2922634371510498,2922634380169513,2922634422140305,1080.447,8659.015,41970.792,51710.254,603028,2
97,100um_pos,1,603026,583026,2922634498182043,2922634498892061,2922634508172613,2922634547175214,710.018,9280.552,39002.601,48993.171,603027,1
98,100um_pos,1,603027,583027,2922634626179949,2922634627258831,2922634635985321,2922634672462167,1078.882,8726.49,36476.846,46282.218,603029,2
99,100um_pos,1,603027,583027,2922634747675027,2922634748391127,2922634757480764,2922634800543127,716.1,9089.637,43062.363,52868.1,603027,0
100,100um_neg,-1,563026,583026,2922634876796848,2922634877880633,2922634886668141,2922634928962265,1083.785,8787.508,42294.124,52165.417,563025,1
101,100um_neg,-1,563030,583030,2922635004799175,2922635005884797,2922635014818526,2922635052589975,1085.622,8933.729,37771.449,47790.8,563030,0
102,100um_neg,-1,563029,583029,2922635128198158,2922635128912679,2922635137982244,2922635176216208,714.521,9069.565,38233.964,48018.05,563028,1
103,100um_neg,-1,563030,583030,2922635256548145,2922635257290582,2922635266630459,2922635301460947,742.437,9339.877,34830.488,44912.802,563029,1
104,100um_neg,-1,563030,583030,2922635384445796,2922635385145127,2922635394548618,2922635431193484,699.331,9403.491,36644.866,46747.688,563028,2
105,100um_neg,-1,563030,583030,2922635507799123,2922635508515453,2922635524606639,2922635553020839,716.33,16091.186,28414.2,45221.716,563028,2
106,100um_neg,-1,563030,583030,2922635636675369,2922635637416453,2922635653534194,2922635682528281,741.084,16117.741,28994.087,45852.912,563029,1
