frame_idx,shift_px,position_mm
0,0,0.0
1,1,0.004593
2,2,0.009186
3,3,0.013779
4,4,0.018372
5,5,0.022965
6,6,0.027558
7,7,0.032151
8,8,0.036744
9,9,0.041337
10,10,0.04593
11,11,0.050523
12,12,0.055116
13,13,0.059709
14,14,0.064302
15,15,0.068895
16,16,0.073488
17,17,0.078081
18,18,0.082674
19,19,0.087267
20,20,0.09186
21,21,0.096453
22,22,0.101046
23,23,0.105639
24,24,0.110232
25,25,0.114825
26,25,0.114825
27,26,0.119418
28,27,0.124011
29,28,0.128604
30,29,0.133197
31,30,0.13779
32,31,0.142383
33,31,0.142383
34,32,0.146976
35,33,0.151569
36,34,0.156162
37,35,0.160755
38,35,0.160755
39,36,0.165348
40,37,0.169941
41,37,0.169941
42,38,0.174534
43,39,0.179127
44,39,0.179127
45,40,0.18372
46,41,0.188313
47,41,0.188313
48,42,0.192906
49,42,0.192906
50,43,0.197499
51,43,0.197499
52,44,0.202092
53,44,0.202092
54,45,0.206685
55,45,0.206685
56,46,0.211278
57,46,0.211278
58,46,0.211278
59,47,0.215871
60,47,0.215871
61,47,0.215871
62,48,0.220464
63,48,0.220464
64,48,0.220464
65,48,0.220464
66,49,0.225057
67,49,0.225057
68,49,0.225057
69,49,0.225057
70,49,0.225057
71,49,0.225057
72,49,0.225057
73,49,0.225057
74,49,0.225057
75,49,0.225057
76,49,0.225057
77,49,0.225057
78,49,0.225057
79,49,0.225057
80,49,0.225057
81,49,0.225057
82,49,0.225057
83,49,0.225057
84,49,0.225057
85,48,0.220464
86,48,0.220464
87,48,0.220464
88,48,0.220464
89,47,0.215871
90,47,0.215871
91,47,0.215871
92,46,0.211278
93,46,0.211278
94,45,0.206685
95,45,0.206685
96,45,0.206685
97,44,0.202092
98,44,0.202092
99,43,0.197499
100,43,0.197499
101,42,0.192906
102,42,0.192906
103,41,0.188313
104,40,0.18372
105,40,0.18372
106,39,0.179127
107,38,0.174534
108,38,0.174534
109,37,0.169941
110,36,0.165348
111,36,0.165348
112,35,0.160755
113,34,0.156162
114,33,0.151569
115,33,0.151569
116,32,0.146976
117,31,0.142383
118,30,0.13779
119,29,0.133197
120,29,0.133197
121,28,0.128604
122,27,0.124011
123,26,0.119418
124,25,0.114825
125,24,0.110232
126,23,0.105639
127,22,0.101046
128,21,0.096453
129,20,0.09186
130,19,0.087267
131,18,0.082674
132,17,0.078081
133,16,0.073488
134,15,0.068895
135,15,0.068895
136,13,0.059709
137,12,0.055116
138,11,0.050523
139,10,0.04593
140,9,0.041337
141,8,0.036744
142,7,0.032151
143,6,0.027558
144,5,0.022965
145,4,0.018372
146,3,0.013779
147,2,0.009186
148,1,0.004593
149,0,0.0
150,0,0.0
151,-1,-0.004593
152,-2,-0.009186
153,-3,-0.013779
154,-4,-0.018372
155,-5,-0.022965
156,-6,-0.027558
157,-7,-0.032151
158,-8,-0.036744
159,-9,-0.041337
160,-10,-0.04593
161,-11,-0.050523
162,-12,-0.055116
163,-13,-0.059709
164,-15,-0.068895
165,-15,-0.068895
166,-16,-0.073488
167,-17,-0.078081
168,-18,-0.082674
169,-19,-0.087267
170,-20,-0.09186
171,-21,-0.096453
172,-22,-0.101046
173,-23,-0.105639
174,-24,-0.110232
175,-25,-0.114825
176,-26,-0.119418
177,-27,-0.124011
178,-28,-0.128604
179,-29,-0.133197
180,-29,-0.133197
181,-30,-0.13779
182,-31,-0.142383
183,-32,-0.146976
184,-33,-0.151569
185,-33,-0.151569
186,-34,-0.156162
187,-35,-0.160755
188,-36,-0.165348
189,-36,-0.165348
190,-37,-0.169941
191,-38,-0.174534
192,-38,-0.174534
193,-39,-0.179127
194,-40,-0.18372
195,-40,-0.18372
196,-41,-0.188313
197,-42,-0.192906
198,-42,-0.192906
199,-43,-0.197499
200,-43,-0.197499
201,-44,-0.202092
202,-44,-0.202092
203,-45,-0.206685
204,-45,-0.206685
205,-45,-0.206685
206,-46,-0.211278
207,-46,-0.211278
208,-47,-0.215871
209,-47,-0.215871
210,-47,-0.215871
211,-48,-0.220464
212,-48,-0.220464
213,-48,-0.220464
214,-48,-0.220464
215,-49,-0.225057
216,-49,-0.225057
217,-49,-0.225057
218,-49,-0.225057
219,-49,-0.225057
220,-49,-0.225057
221,-49,-0.225057
222,-49,-0.225057
223,-49,-0.225057
224,-49,-0.225057
225,-49,-0.225057
226,-49,-0.225057
227,-49,-0.225057
228,-49,-0.225057
229,-49,-0.225057
230,-49,-0.225057
231,-49,-0.225057
232,-49,-0.225057
233,-49,-0.225057
234,-48,-0.220464
235,-48,-0.220464
236,-48,-0.220464
237,-48,-0.220464
238,-47,-0.215871
239,-47,-0.215871
240,-47,-0.215871
241,-46,-0.211278
242,-46,-0.211278
243,-46,-0.211278
244,-45,-0.206685
245,-45,-0.206685
246,-44,-0.202092
247,-44,-0.202092
248,-43,-0.197499
249,-43,-0.197499
250,-42,-0.192906
251,-42,-0.192906
252,-41,-0.188313
253,-41,-0.188313
254,-40,-0.18372
255,-39,-0.179127
256,-39,-0.179127
257,-38,-0.174534
258,-37,-0.169941
259,-37,-0.169941
260,-36,-0.165348
261,-35,-0.160755
262,-35,-0.160755
263,-34,-0.156162
264,-33,-0.151569
265,-32,-0.146976
266,-31,-0.142383
267,-31,-0.142383
268,-30,-0.13779
269,-29,-0.133197
270,-28,-0.128604
271,-27,-0.124011
272,-26,-0.119418
273,-25,-0.114825
274,-25,-0.114825
275,-24,-0.110232
276,-23,-0.105639
277,-22,-0.101046
278,-21,-0.096453
279,-20,-0.09186
280,-19,-0.087267
281,-18,-0.082674
282,-17,-0.078081
283,-16,-0.073488
284,-15,-0.068895
285,-14,-0.064302
286,-13,-0.059709
287,-12,-0.055116
288,-11,-0.050523
289,-10,-0.04593
290,-9,-0.041337
291,-8,-0.036744
292,-7,-0.032151
293,-6,-0.027558
294,-5,-0.022965
295,-4,-0.018372
296,-3,-0.013779
297,-2,-0.009186
298,-1,-0.004593
299,0,0.0
