idx,set_ns,update_ns,total_ns
0,365048,411097,776145
1,384116,359625,743741
2,323811,333032,656843
3,347361,333190,680551
4,363408,315065,678473
5,343833,318703,662536
6,324518,314616,639134
7,347155,333999,681154
8,364739,340877,705616
9,347314,321633,668947
10,363244,336549,699793
11,348747,331455,680202
12,387881,354121,742002
13,366315,334602,700917
14,359537,365778,725315
15,347923,378343,726266
16,365387,339023,704410
17,383051,331811,714862
18,370630,349871,720501
19,376001,326547,702548
20,367424,331408,698832
21,350009,353621,703630
22,365137,336374,701511
23,369312,377252,746564
24,421891,422345,844236
25,514837,394843,909680
26,404667,344567,749234
27,397200,350038,747238
28,389440,345522,734962
29,354804,331240,686044
30,364772,332202,696974
31,348633,317751,666384
32,342433,310979,653412
33,349593,308067,657660
34,351171,316327,667498
35,343564,313007,656571
36,335650,348723,684373
37,378189,350815,729004
38,367372,365659,733031
39,375728,352307,728035
40,374481,348301,722782
41,374012,337238,711250
42,408986,368723,777709
43,393480,349118,742598
44,391665,371848,763513
45,390271,376999,767270
46,384880,344906,729786
47,380991,349252,730243
48,389490,334147,723637
49,387778,354127,741905
50,408900,365278,774178
51,379033,330348,709381
52,401800,349381,751181
53,407171,348515,755686
54,388083,337887,725970
55,381964,351978,733942
56,413941,351387,765328
57,393217,375843,769060
58,367572,459457,827029
59,435523,399883,835406
60,455034,376434,831468
61,400833,345757,746590
62,402345,359516,761861
63,386747,367449,754196
64,349296,346157,695453
65,460170,406893,867063
66,485742,382281,868023
67,407207,394273,801480
68,386668,352373,739041
69,362977,349892,712869
70,354627,351942,706569
71,367253,340055,707308
72,347189,366467,713656
73,379914,367393,747307
74,351573,370195,721768
75,389984,353914,743898
76,364338,361156,725494
77,380113,351839,731952
78,372551,350626,723177
79,347900,356389,704289
80,345121,330984,676105
81,378240,330274,708514
82,396770,349126,745896
83,363925,355856,719781
84,444553,354846,799399
85,360022,370496,730518
86,395189,364181,759370
87,345520,355569,701089
88,349364,378988,728352
89,450270,363789,814059
90,386879,361275,748154
91,389572,358283,747855
92,363439,347712,711151
93,396471,346884,743355
94,362742,362297,725039
95,348238,333238,681476
96,367386,332307,699693
97,353061,349206,702267
98,386945,353010,739955
99,369007,351434,720441
100,397056,328478,725534
101,360795,359619,720414
102,371075,354038,725113
103,348882,326853,675735
104,353835,350746,704581
105,369433,353008,722441
106,367085,347299,714384
107,381270,325725,706995
108,348668,349046,697714
109,389014,355793,744807
110,366887,351659,718546
111,356580,326775,683355
112,367600,338586,706186
113,388264,352350,740614
114,368020,349194,717214
115,360092,349601,709693
116,386215,333371,719586
117,346701,349152,695853
118,376039,350444,726483
119,362085,339691,701776
120,347293,356391,703684
121,387692,325937,713629
122,394417,350352,744769
123,368285,353256,721541
124,353251,359869,713120
125,386026,328157,714183
126,362020,356741,718761
127,369478,338457,707935
128,385470,350441,735911
129,355158,369696,724854
130,406926,359774,766700
131,390919,368410,759329
132,385806,357874,743680
133,368647,350809,719456
134,372750,395765,768515
135,392218,366722,758940
136,347937,350804,698741
137,351447,349548,700995
138,349923,379603,729526
139,446479,395347,841826
140,394994,411686,806680
141,422124,365716,787840
142,378754,354852,733606
143,396890,384516,781406
144,360064,301135,661199
145,319931,260866,580797
146,340202,308286,648488
147,351488,311163,662651
148,353757,305207,658964
149,333299,323330,656629
150,349851,313147,662998
151,346975,310752,657727
152,326171,315567,641738
153,342423,309937,652360
154,330023,288043,618066
155,310136,289133,599269
156,307527,272245,579772
157,324566,275354,599920
158,292466,308809,601275
159,316212,307629,623841
160,314428,309552,623980
161,335111,285610,620721
162,338931,310712,649643
163,350844,320244,671088
164,324155,335111,659266
165,355861,310134,665995
166,325376,319360,644736
167,366317,307212,673529
168,337911,324765,662676
169,325809,340429,666238
170,343952,308361,652313
171,339016,327249,666265
172,367459,338525,705984
173,389787,350103,739890
174,372565,351910,724475
175,365029,345664,710693
176,385650,339315,724965
177,528298,509975,1038273
178,504464,376389,880853
179,375800,352061,727861
180,398493,365528,764021
181,390038,372985,763023
182,388860,335470,724330
183,387459,352132,739591
184,391857,329140,720997
185,390551,351834,742385
186,368720,362066,730786
187,381338,350217,731555
188,380619,363728,744347
189,375791,373564,749355
190,385730,392271,778001
191,374447,350267,724714
192,372558,350153,722711
193,407760,354696,762456
194,387369,341142,728511
195,382697,349111,731808
196,373819,392228,766047
197,387551,334426,721977
198,387109,362015,749124
199,402286,351446,753732
200,370302,351121,721423
201,388185,354577,742762
202,409708,374007,783715
203,395074,371105,766179
204,392049,351514,743563
205,395699,364693,760392
206,388408,337311,725719
207,387434,349799,737233
208,395337,370790,766127
209,399371,360783,760154
210,393710,371192,764902
211,388104,352200,740304
212,355884,372295,728179
213,397696,361562,759258
214,386913,355499,742412
215,407666,331348,739014
216,372710,329459,702169
217,409545,343332,752877
218,363401,356255,719656
219,384921,332627,717548
220,390364,349460,739824
221,387364,375600,762964
222,408505,360167,768672
223,385976,329150,715126
224,354537,348394,702931
225,388114,356168,744282
226,364923,360820,725743
227,404017,350835,754852
228,391848,330777,722625
229,374436,367534,741970
230,371374,344351,715725
231,356078,351525,707603
232,391308,328179,719487
233,389322,357926,747248
234,387543,367956,755499
235,394497,369497,763994
236,351640,351064,702704
237,387503,334559,722062
238,388219,331630,719849
239,391163,349775,740938
240,364547,357565,722112
241,349713,353859,703572
242,387470,331507,718977
243,372932,331306,704238
244,387429,353518,740947
245,409135,366490,775625
246,376603,330374,706977
247,381700,385761,767461
248,387030,354547,741577
249,380688,348783,729471
250,380452,349942,730394
251,373135,355562,728697
252,389010,369537,758547
253,388991,394927,783918
254,374355,370691,745046
255,395658,367825,763483
256,397975,364051,762026
257,388011,356241,744252
258,386994,330205,717199
259,350108,352173,702281
260,388655,333278,721933
261,388966,392661,781627
262,371863,351760,723623
263,374805,349731,724536
264,461310,342461,803771
265,407486,354916,762402
266,387727,331634,719361
267,350471,349986,700457
268,387177,334182,721359
269,386868,368371,755239
270,395544,352120,747664
271,393683,330429,724112
272,387876,353157,741033
273,410579,364864,775443
274,377691,331561,709252
275,371892,329796,701688
276,349410,362199,711609
277,383866,368479,752345
278,398668,367663,766331
279,414438,367248,781686
280,389028,355879,744907
281,387855,385077,772932
282,382449,348718,731167
283,394679,372099,766778
284,385066,378397,763463
285,385160,333844,719004
286,390285,350238,740523
287,353115,369899,723014
288,387883,334208,722091
289,389173,360969,750142
290,380962,352265,733227
291,378714,365226,743940
292,389496,357522,747018
293,385819,383832,769651
294,382655,333188,715843
295,388951,348101,737052
296,411002,354209,765211
297,387785,344036,731821
298,378955,349895,728850
299,358728,348749,707477
300,364754,354083,718837
301,389301,331535,720836
302,389106,330686,719792
303,392106,350931,743037
304,368306,354066,722372
305,387719,351048,738767
306,359702,351308,711010
307,398471,359991,758462
308,385087,342102,727189
309,384546,328005,712551
310,396262,348228,744490
311,396199,366093,762292
312,386493,334698,721191
313,389093,351061,740154
314,351564,329220,680784
315,388095,353419,741514
316,390379,383765,774144
317,379604,329916,709520
318,372431,331225,703656
319,388183,332908,721091
320,389982,352579,742561
321,414022,350096,764118
322,395928,353080,749008
323,386606,333288,719894
324,386716,330523,717239
325,389431,351983,741414
326,377928,346067,723995
327,388167,336431,724598
328,387779,374827,762606
329,387998,349322,737320
330,383088,356933,740021
331,386415,333198,719613
332,387150,350714,737864
333,372757,349512,722269
334,366441,335633,702074
335,388010,338287,726297
336,384850,352549,737399
337,351111,328297,679408
338,374866,368195,743061
339,369497,352527,722024
340,395790,368210,764000
341,392468,370587,763055
342,387557,355111,742668
343,387184,343843,731027
344,379483,371549,751032
345,375384,369084,744468
346,388792,334807,723599
347,388121,384602,772723
348,376976,353908,730884
349,369913,350202,720115
350,354215,355434,709649
351,408909,379010,787919
352,444097,363684,807781
353,393967,392132,786099
354,393590,372146,765736
355,387596,349132,736728
356,370171,342777,712948
357,350336,344975,695311
358,348044,309045,657089
359,348718,309965,658683
360,353381,307695,661076
361,355278,311441,666719
362,349611,331718,681329
363,330398,313224,643622
364,344861,314014,658875
365,347551,331124,678675
366,333294,312085,645379
367,345110,314013,659123
368,326770,332795,659565
369,355097,314580,669677
370,346635,356720,703355
371,369142,339890,709032
372,346379,325785,672164
373,373312,330845,704157
374,387502,355157,742659
375,369147,353252,722399
376,360960,346128,707088
377,377503,365074,742577
378,389131,354187,743318
379,387427,332431,719858
380,371163,328981,700144
381,389893,358122,748015
382,366216,359116,725332
383,385035,351989,737024
384,412298,349223,761521
385,388667,374785,763452
386,367255,366528,733783
387,380758,327698,708456
388,375084,370318,745402
389,407852,355913,763765
390,386528,343737,730265
391,377858,350984,728842
392,372733,334580,707313
393,364599,354166,718765
394,388814,330484,719298
395,392152,351588,743740
396,393063,369140,762203
397,398050,370457,768507
398,385337,334572,719909
399,392132,346812,738944
400,393218,371970,765188
401,388048,334696,722744
402,388269,346541,734810
403,394916,327002,721918
404,367205,357192,724397
405,386866,355761,742627
406,389257,329669,718926
407,351616,352699,704315
408,397205,348131,745336
409,362722,353796,716518
410,386765,331590,718355
411,352754,348334,701088
412,354390,351952,706342
413,364028,353375,717403
414,391710,329390,721100
415,384395,358378,742773
416,350576,376391,726967
417,387092,351478,738570
418,369729,350503,720232
419,365939,336069,702008
420,349749,344376,694125
421,376202,352276,728478
422,373612,347990,721602
423,353791,352671,706462
424,384613,330963,715576
425,392299,350614,742913
426,363768,358095,721863
427,348481,359436,707917
428,385519,351470,736989
429,414990,348609,763599
430,391441,351837,743278
431,387036,358110,745146
432,388092,327971,716063
433,393621,349661,743282
434,400442,365510,765952
435,385519,333827,719346
436,389901,348889,738790
437,375593,369911,745504
438,401223,359663,760886
439,370532,353072,723604
440,408061,352006,760067
441,372551,349703,722254
442,360228,349494,709722
443,366139,352449,718588
444,388088,351312,739400
445,373645,349169,722814
446,387612,355768,743380
447,366623,370364,736987
448,376330,365835,742165
449,357277,345874,703151
450,388754,354092,742846
451,375407,376807,752214
452,379905,372733,752638
453,392637,350956,743593
454,368118,354540,722658
455,389213,393247,782460
456,373926,349223,723149
457,374359,370348,744707
458,386898,358510,745408
459,385230,343339,728569
460,377539,350109,727648
461,361971,346540,708511
462,362303,358126,720429
463,387473,328921,716394
464,392002,351760,743762
465,391911,330723,722634
466,388300,354446,742746
467,388400,330852,719252
468,354827,346955,701782
469,348664,351916,700580
470,370794,372166,742960
471,396179,350013,746192
472,394321,369756,764077
473,401320,359650,760970
474,388429,358687,747116
475,387399,329747,717146
476,415003,348999,764002
477,400179,367040,767219
478,366895,372700,739595
479,371569,344572,716141
480,353302,351118,704420
481,388512,374908,763420
482,408751,356624,765375
483,387125,330789,717914
484,351708,350501,702209
485,388886,340492,729378
486,385020,360309,745329
487,383339,371353,754692
488,391882,330216,722098
489,386124,353647,739771
490,409816,364562,774378
491,404671,348230,752901
492,353481,349926,703407
493,385681,355089,740770
494,389984,360176,750160
495,381434,372686,754120
496,391598,353486,745084
497,408282,354050,762332
498,349467,384460,733927
499,378694,351895,730589
500,377609,345681,723290
501,389161,356623,745784
502,410385,343251,753636
503,375754,349025,724779
504,361753,365082,726835
505,393442,369027,762469
506,389079,359707,748786
507,402831,350692,753523
508,372660,348529,721189
509,354580,354936,709516
510,383462,330088,713550
511,392974,349799,742773
512,349780,329710,679490
513,374669,369909,744578
514,409495,352229,761724
515,396923,346410,743333
516,379940,367856,747796
517,387401,355589,742990
518,387582,328356,715938
519,354379,349758,704137
520,400858,344121,744979
521,382901,336894,719795
522,387213,330394,717607
523,354007,347785,701792
524,388007,353689,741696
525,410647,343546,754193
526,378241,352218,730459
527,372232,334388,706620
528,363775,353344,717119
529,348697,351616,700313
530,376459,348567,725026
531,392797,370496,763293
532,369726,352520,722246
533,386983,351346,738329
534,359855,344189,704044
