idx,elapsed_ns,position_counts
0,727302,-123
1,611175,-123
2,539436,-123
3,534215,-124
4,435444,-124
5,301129,-124
6,287677,-123
7,351204,-123
8,354292,-123
9,366180,-123
10,393248,-123
11,375690,-123
12,361019,-123
13,390351,-124
14,360873,-124
15,290307,-124
16,286670,-123
17,365139,-123
18,360588,-123
19,317481,-123
20,296307,-123
21,288744,-123
22,315906,-123
23,281554,-123
24,318031,-123
25,299359,-123
26,319005,-123
27,328288,-123
28,306178,-123
29,315910,-123
30,330612,-123
31,350312,-123
32,352899,-123
33,379622,-123
34,350437,-123
35,353817,-123
36,348561,-123
37,315729,-123
38,306512,-123
39,310681,-123
40,287230,-123
41,315051,-123
42,308616,-123
43,292518,-123
44,326343,-123
45,349712,-123
46,315509,-123
47,324192,-123
48,330167,-123
49,334856,-123
50,326545,-123
51,330344,-123
52,331109,-123
53,328853,-123
54,343874,-123
55,324991,-123
56,343093,-123
57,326796,-123
58,315256,-123
59,345188,-123
60,350048,-123
61,352588,-123
62,349178,-123
63,356557,-123
64,347340,-123
65,323450,-123
66,329431,-123
67,331062,-123
68,348204,-123
69,351199,-123
70,367958,-123
71,366334,-123
72,356632,-123
73,364902,-123
74,368046,-123
75,375872,-123
76,385913,-123
77,388661,-122
78,377126,-123
79,396123,-123
80,364144,-123
81,408150,-123
82,410530,-123
83,388884,-123
84,363463,-123
85,381634,-123
86,403436,-123
87,413206,-123
88,403451,-123
89,405964,-123
90,419752,-123
91,384746,-123
92,447478,-123
93,410586,-123
94,446905,-123
95,426116,-123
96,427259,-123
97,454627,-124
98,397458,-124
99,388394,-124
100,405006,-124
101,410502,-124
102,443207,-124
103,404897,-124
104,428773,-124
105,410281,-124
106,427889,-124
107,422730,-124
108,390259,-124
109,433173,-124
110,415015,-124
111,404338,-124
112,409755,-124
113,409325,-123
114,379623,-123
115,432288,-123
116,416540,-123
117,418552,-123
118,406881,-123
119,429590,-123
120,384286,-123
121,400230,-123
122,407855,-123
123,409997,-123
124,408891,-123
125,385567,-123
126,405809,-123
127,421713,-123
128,426129,-123
129,416861,-123
130,455645,-123
131,387020,-123
132,420531,-123
133,437189,-123
134,398298,-123
135,391291,-123
136,405496,-123
137,389837,-123
138,411717,-123
139,411710,-123
140,377218,-123
141,424561,-123
142,392844,-123
143,412179,-123
144,382509,-123
145,409899,-123
146,410337,-123
147,427248,-123
148,440304,-123
149,457944,-123
150,446674,-123
151,409311,-123
152,402707,-123
153,421225,-123
154,411582,-123
155,407006,-123
156,416780,-123
157,399728,-123
158,409719,-123
159,404584,-123
160,408200,-123
161,387279,-123
162,406668,-123
163,431199,-122
164,404584,-122
165,405273,-123
166,396550,-123
167,404158,-123
168,411602,-123
169,409319,-123
170,408900,-123
171,402079,-123
172,422834,-122
173,410872,-122
174,388377,-122
175,408905,-122
176,401914,-122
177,399999,-123
178,402825,-123
179,401204,-123
180,385384,-123
181,383974,-123
182,427035,-123
183,392984,-123
184,384366,-123
185,397418,-123
186,406522,-123
187,429977,-123
188,408462,-123
189,417752,-123
190,368050,-123
191,388343,-123
192,400080,-123
193,423400,-123
194,410473,-123
195,415028,-123
196,403349,-123
197,402778,-123
198,390153,-122
199,375652,-122
200,396059,-122
201,387424,-122
202,389182,-122
203,383590,-123
204,401374,-123
205,431663,-123
206,396055,-123
207,391947,-123
208,365475,-123
209,373415,-123
210,419422,-123
211,386902,-123
212,390622,-123
213,384750,-123
214,402417,-123
215,394151,-123
216,387464,-123
217,391744,-123
218,388931,-123
219,396223,-123
220,400798,-123
221,384646,-123
222,391358,-123
223,365212,-123
224,399402,-123
225,417936,-123
226,388718,-123
227,368595,-124
228,388205,-124
229,379033,-124
230,403822,-124
231,401244,-123
232,387082,-123
233,396545,-123
234,392637,-123
235,401811,-123
236,385380,-123
237,391114,-123
238,366604,-123
239,399791,-122
240,398681,-123
241,383148,-123
242,390688,-123
243,389372,-123
244,395798,-123
245,377764,-123
246,388801,-123
247,404705,-123
248,395188,-123
249,398283,-123
250,395556,-123
251,386999,-122
252,387707,-122
253,384478,-123
254,402499,-123
255,416707,-123
256,391590,-123
257,389030,-123
258,362201,-123
259,403966,-123
260,392947,-123
261,389889,-123
262,369240,-123
263,382752,-123
264,420924,-123
265,396066,-123
266,389369,-123
267,367660,-123
268,394194,-124
269,400051,-124
270,381535,-124
271,403602,-124
272,356147,-123
273,364363,-123
274,388352,-123
275,366561,-123
276,384236,-123
277,351577,-123
278,365731,-123
279,385001,-123
280,377754,-123
281,384921,-123
282,401629,-123
283,395851,-123
284,387022,-123
285,391445,-123
286,384743,-123
287,399733,-123
288,357228,-123
289,379676,-123
290,368971,-123
291,390736,-123
292,389481,-123
293,372572,-123
294,384272,-124
295,383553,-124
296,388093,-124
297,345442,-124
298,348765,-124
299,388314,-123
300,376483,-123
301,378822,-123
302,348364,-123
303,376900,-123
304,387487,-123
