idx,set_ns,update_ns,total_ns
0,369060,338994,708054
1,344767,306619,651386
2,347954,314150,662104
3,345598,314932,660530
4,347817,334727,682544
5,343431,317975,661406
6,328169,309740,637909
7,351704,310041,661745
8,350937,302848,653785
9,350788,311410,662198
10,347070,314343,661413
11,358645,344296,702941
12,352346,341997,694343
13,380306,355028,735334
14,369166,350415,719581
15,420199,324725,744924
16,356454,327809,684263
17,390781,375497,766278
18,390897,349939,740836
19,369583,339557,709140
20,363673,352926,716599
21,368957,347744,716701
22,366900,335598,702498
23,347514,358454,705968
24,364838,329210,694048
25,372040,350250,722290
26,348463,361446,709909
27,364156,350593,714749
28,353017,346206,699223
29,359893,368023,727916
30,388095,333148,721243
31,368936,328988,697924
32,348839,350954,699793
33,352774,351046,703820
34,389920,327528,717448
35,395272,326090,721362
36,373872,327218,701090
37,352954,350255,703209
38,348992,349379,698371
39,373540,349341,722881
40,388223,357397,745620
41,365119,367325,732444
42,376732,350913,727645
43,375078,366655,741733
44,354924,356057,710981
45,382371,330951,713322
46,371658,329035,700693
47,394040,348136,742176
48,370340,354680,725020
49,351284,352305,703589
50,370541,329132,699673
51,369567,352249,721816
52,389679,340560,730239
53,378166,351395,729561
54,359292,348758,708050
55,364862,354574,719436
56,388207,327697,715904
57,351853,350806,702659
58,358992,341709,700701
59,348077,359124,707201
60,364893,349360,714253
61,371294,351637,722931
62,351770,351527,703297
63,347314,350266,697580
64,347226,351862,699088
65,384566,358951,743517
66,372144,328908,701052
67,347757,351904,699661
68,352966,352494,705460
69,409715,353157,762872
70,390403,342578,732981
71,377617,352285,729902
72,355194,369156,724350
73,346985,356946,703931
74,366503,350496,716999
75,349744,351265,701009
76,362217,341515,703732
77,362491,354439,716930
78,348068,350692,698760
79,372218,349242,721460
80,355012,357137,712149
81,382799,331616,714415
82,392115,349611,741726
83,353434,323861,677295
84,353909,353816,707725
85,387655,330770,718425
86,353695,326393,680088
87,374961,371651,746612
88,385453,362838,748291
89,381734,353595,735329
90,414493,328249,742742
91,372080,328368,700448
92,388765,350763,739528
93,392438,328411,720849
94,350026,352525,702551
95,368492,359481,727973
96,387812,371514,759326
97,391156,353465,744621
98,371304,347014,718318
99,357247,354259,711506
100,383161,332846,716007
101,348856,351028,699884
102,366883,355499,722382
103,391110,358432,749542
104,402186,353027,755213
105,369798,351628,721426
106,354179,347989,702168
107,347030,352731,699761
108,348181,350454,698635
109,379511,363361,742872
110,352885,332384,685269
111,365977,350715,716692
112,352296,352040,704336
113,348586,334494,683080
114,385661,352238,737899
115,396118,326278,722396
116,355546,348553,704099
117,352515,355264,707779
118,363368,351637,715005
119,351881,348937,700818
120,368077,356062,724139
121,387004,360996,748000
122,404478,348934,753412
123,372659,351369,724028
124,347423,355541,702964
125,347762,329322,677084
126,396828,350108,746936
127,370290,351495,721785
128,389376,354288,743664
129,384658,372222,756880
130,375100,351238,726338
131,363635,336474,700109
132,370811,332970,703781
133,367926,350725,718651
134,394035,328991,723026
135,351215,352855,704070
136,387068,352037,739105
137,393034,327927,720961
138,351536,349104,700640
139,369764,354257,724021
140,352020,347638,699658
141,400413,367002,767415
142,405390,358202,763592
143,352887,354677,707564
144,381608,331280,712888
145,354623,349242,703865
146,369132,354376,723508
147,388978,360333,749311
148,402623,349412,752035
149,373506,349469,722975
150,353209,352968,706177
151,386334,330208,716542
152,396900,345989,742889
153,371111,351353,722464
154,347734,353814,701548
155,347486,352924,700410
156,375736,348428,724164
157,345603,356731,702334
158,390426,340234,730660
159,381670,349793,731463
160,357166,366485,723651
161,350053,353862,703915
162,388533,328624,717157
163,351580,349923,701503
164,365158,357191,722349
165,349358,354487,703845
166,346726,352733,699459
167,370286,351471,721757
168,353316,348664,701980
169,347037,353530,700567
170,369734,350323,720057
171,387350,335335,722685
172,351763,351060,702823
173,346152,351210,697362
174,376015,328600,704615
175,410497,354679,765176
176,367595,363707,731302
177,399619,349835,749454
178,396275,326752,723027
179,352239,352660,704899
180,386065,350826,736891
181,371961,350144,722105
182,351168,349916,701084
183,369276,354731,724007
184,347158,352324,699482
185,372288,329133,701421
186,368661,360049,728710
187,387642,339353,726995
188,381064,353107,734171
189,351439,329094,680533
190,368320,333327,701647
191,387741,350184,737925
192,372621,350226,722847
193,358879,347661,706540
194,364673,353304,717977
195,347319,352739,700058
196,374695,350812,725507
197,352913,353557,706470
198,384992,329624,714616
199,391933,349798,741731
200,356063,366989,723052
201,346841,356088,702929
202,408665,351618,760283
203,374262,346647,720909
204,364130,344808,708938
205,384580,354713,739293
206,372596,347536,720132
207,352570,348697,701267
208,367158,356658,723816
209,385598,380519,766117
210,387520,347705,735225
211,375505,349144,724649
212,346041,356356,702397
213,346760,329786,676546
214,371775,350839,722614
215,396095,346799,742894
216,347941,360919,708860
217,385285,328106,713391
218,353663,332856,686519
219,407300,333043,740343
220,390558,361385,751943
221,380137,350181,730318
222,376827,364954,741781
223,352630,352473,705103
224,347322,352668,699990
225,350229,348098,698327
226,364363,344471,708834
227,362447,357082,719529
228,387636,331510,719146
229,349911,349955,699866
230,351181,332703,683884
231,365020,333494,698514
232,389161,350708,739869
233,404107,358278,762385
234,347198,375201,722399
235,388067,349686,737753
236,376564,348921,725485
237,365006,335409,700415
238,346950,360390,707340
239,364056,349387,713443
240,374351,352309,726660
241,386473,356446,742919
242,388008,360767,748775
243,382509,349548,732057
244,354520,347771,702291
245,346701,358025,704726
246,365875,349958,715833
247,397071,329584,726655
248,390930,349963,740893
249,353576,374497,728073
250,386593,348147,734740
251,352499,330941,683440
252,347635,352156,699791
253,352304,350965,703269
254,356396,329826,686222
255,355253,347957,703210
256,350273,332977,683250
257,386796,328457,715253
258,350960,351760,702720
259,352127,349741,701868
260,347141,352192,699333
261,350188,350596,700784
262,382069,361965,744034
263,351874,351035,702909
264,345746,352145,697891
265,353780,371204,724984
266,390001,354630,744631
267,367778,364713,732491
268,375358,349533,724891
269,355823,374471,730294
270,386611,329806,716417
271,391401,347714,739115
272,393926,329135,723061
273,350447,352231,702678
274,367201,353342,720543
275,353741,350755,704496
276,388439,330376,718815
277,347021,359516,706537
278,388434,339056,727490
279,382494,352457,734951
280,354256,347325,701581
281,366097,357321,723418
282,388015,331668,719683
283,348663,350917,699580
284,394855,347939,742794
285,350611,331064,681675
286,389104,353340,742444
287,349097,328001,677098
288,353635,353801,707436
289,384118,331924,716042
290,393309,349202,742511
291,371756,348882,720638
292,349270,356863,706133
293,386760,351600,738360
294,357128,371460,728588
295,403062,361249,764311
296,386566,355158,741724
297,405825,332499,738324
298,355368,343072,698440
299,349702,353979,703681
300,347468,361505,708973
301,402887,353541,756428
302,369107,353536,722643
303,353605,352200,705805
304,385889,330667,716556
305,391520,349588,741108
306,350706,328976,679682
307,353171,354390,707561
308,386493,330094,716587
309,370240,330248,700488
310,390608,353126,743734
311,368829,359359,728188
312,380264,353167,733431
313,357307,372258,729565
314,367551,355523,723074
315,384804,350439,735243
316,392191,328486,720677
317,352307,350382,702689
318,368437,355009,723446
319,351788,351307,703095
320,389796,328098,717894
321,348643,355299,703942
322,387006,372436,759442
323,352492,350784,703276
324,355977,349774,705751
325,365121,359098,724219
326,387047,331236,718283
327,350035,351543,701578
328,363866,336953,700819
329,366976,336811,703787
330,367738,347879,715617
331,357388,328991,686379
332,370915,331099,702014
333,387908,329527,717435
334,393830,349752,743582
335,350491,348298,698789
336,370252,354523,724775
337,351081,347006,698087
338,354801,329585,684386
339,368625,352755,721380
340,353299,385184,738483
341,353245,350243,703488
342,349975,352410,702385
343,349069,353507,702576
344,410350,350389,760739
345,372517,351181,723698
346,362004,341670,703674
347,364727,356311,721038
348,344531,352139,696670
349,372201,349989,722190
350,347922,360756,708678
