t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
3196837,4411,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
9092706,3140,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
12668386,2438,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
17784168,1456,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
21788960,681,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
25519084,-42,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
29192277,-766,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
32809416,-1473,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
36321923,-2184,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
39790687,-2897,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
43256117,-3636,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
46773750,-4367,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
50237564,-5099,001d,00002504,0000000002a9,0000fff60000,0000fff63318,0000ffffd85d,001d,0000000a3333
53883806,-5817,001d,00002504,0000000002a8,0000fff60000,0000fff6fd51,0000ffffd85d,001d,0000000a3333
58189037,-6619,001d,00002504,0000000002a9,0000fff70000,0000fff7e4d4,0000ffffd85d,001d,0000000a3333
62502782,-7334,001d,00002504,0000000002a9,0000fff90000,0000fff8c1d3,0000ffffd85d,001d,0000000a3333
66260385,-7901,001d,00002504,0000000002aa,0000fff90000,0000fff9743e,0000ffffd85d,001d,0000000a3333
69671421,-8350,001d,00002504,0000000002a9,0000fffa0000,0000fffa26a2,0000ffffd85d,001d,0000000a3333
73107882,-8760,001d,00002504,0000000002aa,0000fffa0000,0000fffad666,0000ffffd85d,001d,0000000a3333
76546229,-9115,001d,00002504,0000000002a9,0000fffc0000,0000fffb8b88,0000ffffd85d,001d,0000000a3333
79942252,-9415,001d,00002504,0000000002aa,0000fffd0000,0000fffc3b55,0000ffffd85d,001d,0000000a3333
83399249,-9668,001d,00002504,0000000002aa,0000fffc0000,0000fffceb40,0000ffffd85d,001d,0000000a3333
86835609,-9870,001d,00002504,0000000002aa,0000fffe0000,0000fffda32b,0000ffffd85d,001d,0000000a3333
90251771,-10026,001d,00002504,0000000002aa,0000fffe0000,0000fffe55da,0000ffffd85d,001d,0000000a3333
93664863,-10136,001d,00002504,0000000002aa,000000000000,0000ffff0347,0000ffffd85d,001d,0000000a3333
97084164,-10201,001d,00002504,0000000002ac,000000000000,0000ffffb645,0000ffffd85d,001d,0000000a3333
100500279,-10222,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
103875778,-10217,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
107207104,-10209,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
110553878,-10199,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
113917288,-10189,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
117287748,-10180,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
120574654,-10172,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
123849945,-10167,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
127118964,-10161,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
130449536,-10160,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
133793948,-10157,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
137021023,-10154,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
140241632,-10153,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
143553292,-10152,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
146742890,-10151,001d,00002104,000000000000,000000010000,000000000000,0000ffffd85d,001d,0000000a3333
150018335,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
153287852,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
156553897,-10150,001d,00002104,000000000000,000000010000,000000000000,0000ffffd85d,001d,0000000a3333
159740083,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
163014899,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
166289963,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
169574417,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
172848325,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
175976590,-10149,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
179242478,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
