idx,elapsed_ns,position_counts
0,997707,-147
1,983141,-147
2,1000787,-147
3,632772,-147
4,964005,-147
5,1031456,-147
6,602219,-147
7,525841,-147
8,501480,-147
9,643563,-147
10,684049,-147
11,522163,-147
12,568598,-146
13,576527,-147
14,577602,-147
15,587974,-147
16,601505,-147
17,571973,-147
18,488870,-147
19,456617,-147
20,560557,-147
21,582740,-147
22,602047,-147
23,489253,-147
24,578161,-147
25,505471,-147
26,572920,-147
27,610218,-147
28,491775,-147
29,534025,-147
30,474623,-147
31,562238,-147
32,608504,-147
33,634423,-147
34,567654,-147
35,577358,-147
36,514798,-147
37,446238,-147
38,579432,-147
39,491220,-147
40,519532,-147
41,500410,-147
42,548935,-147
43,570264,-147
44,495506,-147
45,541942,-147
46,485376,-147
47,527801,-147
48,476479,-147
49,566884,-147
50,542686,-147
51,560976,-147
52,574776,-147
53,564975,-147
54,580749,-147
55,494682,-147
56,450390,-147
57,545327,-147
58,585007,-147
59,502023,-147
60,564004,-147
61,484033,-147
62,539009,-147
63,606116,-147
64,495726,-147
65,525207,-147
66,496641,-147
67,449040,-147
68,434673,-147
69,429720,-147
70,419580,-147
71,432999,-147
72,397977,-147
73,405633,-147
74,465314,-147
75,437496,-147
76,410280,-147
77,389462,-147
78,406605,-147
79,415278,-148
80,401794,-147
81,410766,-147
82,412598,-147
83,396630,-147
84,383702,-147
85,391661,-147
86,400936,-148
87,401538,-148
88,392084,-147
89,407993,-148
90,405444,-147
91,388598,-147
92,401611,-147
93,417239,-147
94,400053,-147
95,385455,-147
96,406336,-147
97,403583,-147
98,400251,-149
99,404326,-148
100,390160,-148
101,401581,-148
102,408515,-148
103,420157,-148
104,398871,-147
105,408803,-147
106,404557,-148
107,393158,-147
108,404356,-147
109,408322,-148
110,405344,-149
111,383317,-147
112,397558,-147
113,402051,-148
114,402497,-148
115,411059,-147
116,381069,-147
117,414918,-148
118,387791,-147
119,402627,-147
120,373676,-147
121,409281,-147
122,405936,-147
123,405522,-147
124,405678,-148
125,397132,-148
126,404626,-148
127,388577,-147
128,401884,-147
129,409929,-147
130,397838,-147
131,387772,-147
132,393275,-147
133,370160,-148
134,389478,-148
135,407203,-147
136,384973,-147
137,415472,-148
138,392369,-147
139,385478,-147
140,392083,-147
141,389262,-147
142,386020,-147
143,406842,-147
144,387772,-147
145,387986,-148
146,385875,-148
147,395316,-147
148,359194,-147
149,394981,-147
150,359074,-147
151,387887,-147
152,395709,-147
153,366320,-147
154,395905,-147
155,381739,-147
156,362189,-147
157,390038,-147
158,359809,-147
159,389202,-147
160,371168,-147
161,403856,-147
162,395257,-147
163,361813,-147
164,386316,-147
165,375509,-147
166,381254,-147
167,386942,-147
168,390153,-146
169,390186,-146
170,386642,-147
171,365057,-147
172,396720,-147
173,395788,-147
174,385214,-147
175,372525,-147
176,386972,-147
177,363118,-147
178,389661,-147
179,366347,-147
180,393231,-146
181,407999,-146
182,386270,-146
183,382642,-146
184,395595,-146
185,388345,-146
186,390567,-146
187,379689,-147
188,368052,-147
189,385473,-147
190,393524,-147
191,387705,-147
192,432626,-146
193,382873,-146
194,385798,-146
195,392719,-147
196,364270,-147
197,407207,-147
198,390863,-147
199,388319,-147
200,363233,-147
201,386804,-147
202,365298,-147
203,391530,-147
204,366926,-147
205,393524,-147
206,361611,-147
207,383277,-147
208,415486,-147
209,385194,-147
210,399817,-147
211,379367,-147
212,383764,-148
213,407840,-148
214,385005,-147
215,398676,-147
216,400124,-148
217,382629,-147
218,394202,-147
219,385210,-147
220,400555,-147
221,393793,-147
222,407798,-147
223,371353,-148
224,377400,-147
225,356259,-147
226,361647,-147
227,389616,-147
228,392562,-147
229,384712,-148
230,385750,-148
231,386841,-148
232,390508,-147
233,381462,-148
234,384096,-148
235,386808,-147
236,374991,-147
237,386384,-147
238,373941,-147
239,402200,-147
240,357565,-147
241,368863,-149
242,386829,-148
243,364421,-147
244,390890,-147
245,376421,-148
246,390335,-148
247,358192,-147
248,390424,-148
249,370276,-148
250,384798,-148
251,391486,-147
252,363455,-148
253,403603,-148
254,414961,-148
255,383704,-148
256,367329,-148
257,388176,-147
258,385614,-147
259,368390,-148
260,380567,-147
261,344474,-147
262,372898,-147
263,387608,-147
264,367582,-147
265,342942,-147
266,347033,-147
267,351879,-147
268,363695,-147
269,388900,-147
270,347255,-147
271,387741,-147
272,368685,-147
273,365427,-147
274,343830,-147
275,369639,-147
276,366426,-147
277,372024,-147
278,385904,-147
279,367280,-147
280,347423,-147
281,368163,-147
282,364147,-147
283,374211,-147
284,384734,-147
285,343303,-147
286,372364,-147
287,366069,-147
288,376827,-147
289,359518,-147
290,364957,-147
291,391597,-147
292,341959,-147
293,368195,-147
294,397103,-147
295,385841,-147
296,369088,-147
297,386751,-147
298,344583,-147
299,349770,-147
300,382355,-147
301,347343,-147
302,349147,-147
303,385569,-147
304,361090,-147
305,375269,-147
306,365809,-147
307,369623,-147
308,355676,-147
309,377256,-147
310,353921,-147
311,385923,-147
312,366366,-147
313,368093,-147
314,345580,-147
315,391330,-147
316,387368,-147
317,362945,-147
318,373423,-147
319,387942,-147
320,346335,-147
321,344338,-147
322,348996,-147
323,365359,-147
324,366689,-147
325,366561,-147
326,374277,-147
327,387093,-147
328,370380,-147
329,384296,-147
330,365257,-147
331,351078,-147
332,344853,-147
333,366129,-147
334,389496,-147
335,349405,-147
336,380371,-147
337,375564,-147
338,367542,-148
339,347106,-147
340,387601,-147
341,344308,-147
342,369800,-147
343,390598,-147
344,359658,-147
345,354042,-147
346,367797,-147
347,369983,-147
348,365957,-147
349,363225,-148
350,392374,-148
351,348584,-148
352,418296,-148
353,380244,-148
354,363895,-148
355,349614,-148
356,387098,-147
357,342797,-147
358,369798,-147
359,344298,-147
360,352483,-147
361,367218,-147
362,366755,-147
363,369700,-147
364,388370,-147
365,365915,-147
366,346392,-147
367,364812,-148
368,394149,-148
369,387989,-147
370,362606,-147
371,353218,-147
372,385674,-147
373,364541,-147
374,392958,-147
375,345588,-147
376,366535,-147
377,367021,-147
378,348511,-147
379,347128,-147
380,387280,-147
381,347295,-147
382,373299,-147
383,388006,-147
384,347915,-147
385,365191,-147
386,369265,-147
387,368506,-147
388,366562,-147
389,363913,-148
390,393484,-147
391,344068,-147
392,374027,-147
393,382984,-147
394,344114,-147
395,371105,-147
396,364850,-147
397,368084,-147
398,367285,-147
399,388697,-147
400,369673,-147
401,348621,-147
402,387253,-147
403,369863,-147
404,385051,-147
405,344798,-147
406,370312,-147
407,342445,-147
408,392875,-147
409,343095,-147
410,367904,-147
411,397069,-147
412,382985,-147
413,365347,-147
414,394598,-147
415,345885,-147
416,378559,-148
417,402056,-148
418,385423,-147
419,411028,-147
420,381961,-147
421,372923,-147
422,343039,-147
423,346009,-147
424,373278,-147
425,387832,-147
426,362972,-148
427,349105,-147
428,388595,-147
429,347204,-147
430,367533,-147
431,366765,-147
432,369152,-147
433,367134,-147
434,365921,-147
435,369908,-147
436,375098,-147
437,381870,-147
438,392525,-147
439,363859,-147
440,351200,-147
441,385261,-147
442,369350,-147
443,364199,-147
444,345699,-147
445,353864,-147
446,382223,-147
447,365810,-147
448,368712,-147
449,345858,-147
450,388654,-147
451,347585,-147
452,454168,-147
453,395254,-147
454,379798,-147
455,389142,-147
456,386825,-147
457,364097,-147
458,352244,-147
459,382984,-147
460,344679,-147
461,372658,-147
462,343586,-147
463,367040,-147
464,391306,-147
465,344311,-147
466,373840,-147
467,382347,-147
468,346790,-147
469,375172,-147
470,382195,-147
471,346277,-147
472,372588,-147
473,387916,-147
474,347200,-147
475,367663,-148
476,390868,-148
477,365016,-147
478,343817,-148
479,366168,-148
480,388155,-147
481,352728,-147
482,388131,-147
483,364578,-147
484,344121,-147
485,372695,-147
486,386905,-147
487,343479,-147
488,372622,-147
489,386029,-147
490,347111,-148
491,367293,-147
492,366023,-147
493,369840,-147
494,367757,-147
495,366223,-147
496,369411,-147
497,367180,-147
498,412437,-147
499,346166,-147
500,346759,-147
501,390198,-147
502,383723,-147
503,344465,-147
504,368116,-147
505,345243,-147
506,382873,-147
507,374322,-147
508,346351,-147
509,374455,-147
510,386208,-147
511,343593,-147
512,372755,-147
513,385984,-147
514,359673,-147
515,353554,-148
516,365191,-148
517,392004,-148
518,384202,-148
519,366208,-148
520,349327,-148
521,386835,-147
522,370129,-147
523,386566,-148
524,366955,-148
525,390710,-147
526,383846,-147
527,369029,-148
528,349459,-148
529,345577,-147
530,348333,-147
531,342197,-147
532,370970,-147
533,370624,-147
534,382807,-147
535,352184,-147
536,387378,-147
537,366359,-147
538,348907,-147
539,385681,-147
540,343057,-147
541,370242,-147
542,366609,-147
543,368905,-147
544,366609,-147
545,366025,-147
546,391230,-147
547,345137,-147
548,366789,-147
549,396381,-147
