t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
3333571,4361,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
9235008,3068,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
13888453,2158,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
17944590,1339,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
21690642,611,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
25371757,-104,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
28955648,-805,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
32374552,-1474,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
35962005,-2183,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
39482464,-2902,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
42934149,-3606,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
46449406,-4334,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
49926156,-5061,001d,00002504,0000000002a8,0000fff60000,0000fff62318,0000ffffd85d,001d,0000000a3333
53448248,-5764,001d,00002504,0000000002a9,0000fff70000,0000fff6daa6,0000ffffd85d,001d,0000000a3333
56907119,-6417,001d,00002504,0000000002a9,0000fff70000,0000fff78f8c,0000ffffd85d,001d,0000000a3333
60388971,-7012,001d,00002504,0000000002a9,0000fff90000,0000fff8447c,0000ffffd85d,001d,0000000a3333
63847584,-7552,001d,00002504,0000000002a9,0000fff80000,0000fff8f42e,0000ffffd85d,001d,0000000a3333
67289485,-8035,001d,00002504,0000000002a9,0000fffa0000,0000fff9a68e,0000ffffd85d,001d,0000000a3333
70724249,-8470,001d,00002504,0000000002a9,0000fffa0000,0000fffa5b94,0000ffffd85d,001d,0000000a3333
74166721,-8857,001d,00002504,0000000002a9,0000fffc0000,0000fffb10a0,0000ffffd85d,001d,0000000a3333
77679378,-9201,001d,00002504,0000000002a9,0000fffc0000,0000fffbc85b,0000ffffd85d,001d,0000000a3333
81188087,-9488,001d,00002504,0000000002a9,0000fffc0000,0000fffc7d84,0000ffffd85d,001d,0000000a3333
84594650,-9722,001d,00002504,0000000002aa,0000fffc0000,0000fffd300b,0000ffffd85d,001d,0000000a3333
88064905,-9912,001d,00002504,0000000002aa,0000fffe0000,0000fffddff0,0000ffffd85d,001d,0000000a3333
91422161,-10050,001d,00002504,0000000002aa,0000fffe0000,0000fffe8d40,0000ffffd85d,001d,0000000a3333
94819767,-10145,001d,00002504,0000000002ab,000000000000,0000ffff4003,0000ffffd85d,001d,0000000a3333
98139197,-10194,001d,00002504,0000000002ac,000000000000,0000ffffeb0d,0000ffffd85d,001d,0000000a3333
101422310,-10208,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
104607716,-10203,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
107836416,-10195,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
111174137,-10187,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
114443097,-10178,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
117608952,-10173,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
120778345,-10167,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
124140871,-10162,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
127443586,-10157,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
130816228,-10156,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
134043419,-10154,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
137282921,-10153,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
140507768,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
143781462,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
147167018,-10149,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
150340849,-10149,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
153648079,-10148,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
