t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
3240864,-4639,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
9826073,-3263,001d,00002506,000000000000,000000090000,0000000a3333,00000000267d,001d,0000000a3333
14765552,-2297,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
19412542,-1398,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
23117645,-676,001d,00002506,000000000000,000000090000,0000000a3333,00000000267d,001d,0000000a3333
26801162,37,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
30287760,742,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
33862013,1465,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
37346774,2181,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
40843319,2906,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
44368371,3637,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
47811352,4360,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
51316102,5073,001d,00002504,0000fffffd57,0000000a0000,00000009950c,00000000267d,001d,0000000a3333
54731249,5723,001d,00002504,0000fffffd56,000000090000,00000008e575,00000000267d,001d,0000000a3333
58085096,6302,001d,00002504,0000fffffd56,000000080000,0000000835de,00000000267d,001d,0000000a3333
61503922,6850,001d,00002504,0000fffffd56,000000080000,0000000780dc,00000000267d,001d,0000000a3333
64981748,7351,001d,00002504,0000fffffd56,000000070000,00000006ce77,00000000267d,001d,0000000a3333
68375992,7800,001d,00002504,0000fffffd56,000000060000,000000061c18,00000000267d,001d,0000000a3333
71832493,8215,001d,00002504,0000fffffd57,000000050000,0000000569b5,00000000267d,001d,0000000a3333
75276717,8584,001d,00002504,0000fffffd56,000000040000,00000004b74c,00000000267d,001d,0000000a3333
78708611,8906,001d,00002504,0000fffffd56,000000040000,0000000404de,00000000267d,001d,0000000a3333
82177067,9185,001d,00002504,0000fffffd55,000000030000,0000000354ff,00000000267d,001d,0000000a3333
85590136,9414,001d,00002504,0000fffffd56,000000030000,000000029fc5,00000000267d,001d,0000000a3333
88964502,9598,001d,00002504,0000fffffd55,000000020000,00000001efd5,00000000267d,001d,0000000a3333
92380348,9736,001d,00002504,0000fffffd54,000000020000,000000013d1f,00000000267d,001d,0000000a3333
95789448,9831,001d,00002504,0000fffffd54,000000010000,000000008cef,00000000267d,001d,0000000a3333
99145215,9875,001d,00002504,0000fffffd50,000000000000,000000000000,00000000267d,001d,0000000a3333
102397286,9885,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
105680863,9885,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
109079393,9884,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
112331328,9881,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
115522924,9878,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
118790000,9875,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
122082191,9870,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
125292217,9868,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
128577231,9864,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
131846050,9862,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
135123688,9859,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
138350075,9859,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
141578152,9857,001d,00002104,000000000000,0000ffff0000,000000000000,00000000267d,001d,0000000a3333
144904398,9856,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
148185350,9855,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
151453928,9857,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
154681478,9853,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
157871377,9854,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
161182217,9855,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
